Model,Algorithm...2,R_squared,RMSE,MAE,MAPE,Algorithm...7,Approach
XGBoost_grid_1_AutoML_1_20230507_112409_model_2,xgboost,0.879065848387925,20006.442841468594,6923.4832931215415,25.738338225597186,XGBoost,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_12,gbm,0.8784221798553373,20059.614042199788,7404.2081614753,27.525452995909017,GBM,All predictors
StackedEnsemble_BestOfFamily_3_AutoML_4_20230507_142453,stackedensemble,0.8775195732213985,20133.938700057668,7511.606661346329,27.924711403501135,StackedEnsemble,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_17,gbm,0.8764556827815941,20221.19341938921,7649.021736973051,28.435557684778423,GBM,All predictors
XRT_1_AutoML_3_20230507_132440,drf,0.8742285017108162,20402.64691673597,6737.952732544871,25.048620620002442,DRF,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_2,gbm,0.8737494865817926,20441.46289965584,7716.085431814519,28.684869770531968,GBM,All predictors
DeepLearning_grid_1_AutoML_2_20230507_122424_model_1,deeplearning,0.8733663107618379,20472.459764422478,8341.97545007294,31.011642046846266,DeepLearning,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_17,gbm,0.8731546255968237,20489.563848118825,7747.625699604186,28.80212203297374,GBM,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_13,xgboost,0.8727056797335146,20525.79134188804,7722.351779622342,28.708165180152907,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_13,xgboost,0.8725751895888586,20536.30920086669,7511.718626410224,27.925127638301156,XGBoost,Without retrofit
DeepLearning_grid_1_AutoML_3_20230507_132440_model_1,deeplearning,0.8718447790280837,20595.083089594216,8147.479665998504,30.288595848564253,DeepLearning,Without social indicators
DeepLearning_grid_1_AutoML_1_20230507_112409_model_1,deeplearning,0.8716085332202752,20614.057196773865,8431.021657893429,31.342675042458108,DeepLearning,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_13,gbm,0.8714245952587178,20628.81810999884,6707.648625894592,24.935963838211066,GBM,Without retrofit
StackedEnsemble_AllModels_2_AutoML_2_20230507_122424,stackedensemble,0.8712754351792616,20640.780367739742,7111.567485117286,26.43754906261677,StackedEnsemble,Without retrofit
DRF_1_AutoML_4_20230507_142453,drf,0.86906585542518,20817.177924154188,7033.632192864829,26.147821359554733,DRF,Without stand alone
DeepLearning_grid_1_AutoML_1_20230507_112409_model_3,deeplearning,0.8682427915016488,20882.504757850988,8387.724591765025,31.181716391298213,DeepLearning,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_21,gbm,0.8677048261259077,20925.09301852743,6432.96278653575,23.91480776115027,GBM,Without social indicators
StackedEnsemble_AllModels_2_AutoML_3_20230507_132440,stackedensemble,0.8675433578086098,20937.858825237203,7003.509245380115,26.035838044525473,StackedEnsemble,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_40,gbm,0.8671839083742953,20966.249256931376,7186.952816570486,26.717797179936404,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_17,gbm,0.866763776320023,20999.38394071608,7822.835479655476,29.081717530626793,GBM,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_8,gbm,0.8667389776867851,21001.338108197608,6080.222384020846,22.60348058646325,GBM,Without social indicators
DeepLearning_grid_1_AutoML_4_20230507_142453_model_1,deeplearning,0.8662159731810439,21042.50933156792,8472.905436412115,31.498379737918402,DeepLearning,Without stand alone
XRT_1_AutoML_1_20230507_112409,drf,0.8661420677108647,21048.320719765128,6954.857271918022,25.854972301763556,DRF,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_2,xgboost,0.8657078141440824,21082.43489995091,6802.459303668715,25.28842649156547,XGBoost,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_37,gbm,0.8656987720025049,21083.14464769677,7354.179414480448,27.339469040053217,GBM,Without stand alone
DeepLearning_grid_1_AutoML_2_20230507_122424_model_3,deeplearning,0.865628741171663,21088.640791454265,8547.06419719664,31.774068027562947,DeepLearning,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_13,gbm,0.8654657361416592,21101.428171237647,7093.462965407099,26.370244754657264,GBM,Without stand alone
DRF_1_AutoML_1_20230507_112409,drf,0.865275575471842,21116.336064042018,6780.038555579317,25.20507642438626,DRF,All predictors
StackedEnsemble_AllModels_2_AutoML_4_20230507_142453,stackedensemble,0.8646439120667652,21165.78076883075,7348.245679533933,27.31741013263212,StackedEnsemble,Without stand alone
DRF_1_AutoML_2_20230507_122424,drf,0.8645377269724362,21174.081281400348,6789.021993097245,25.238472728453985,DRF,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_3,xgboost,0.8642235189381866,21198.623955860196,7527.4659653559,27.983669028346768,XGBoost,Without stand alone
XGBoost_3_AutoML_2_20230507_122424,xgboost,0.8638490844081934,21227.833845175446,7547.73958841163,28.059037068562176,XGBoost,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_17,gbm,0.8634916939745749,21255.676671610403,8026.453559688073,29.838676245026,GBM,Without stand alone
DeepLearning_grid_1_AutoML_1_20230507_112409_model_2,deeplearning,0.8633139906165782,21269.50724632363,9622.73280418589,35.772910987558554,DeepLearning,All predictors
StackedEnsemble_AllModels_1_AutoML_3_20230507_132440,stackedensemble,0.8624981562419297,21332.8882006182,6832.3377043978635,25.399500693820098,StackedEnsemble,Without social indicators
DeepLearning_grid_1_AutoML_2_20230507_122424_model_2,deeplearning,0.8621089696253087,21363.057279817873,9073.007583507904,33.729284526437745,DeepLearning,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_21,gbm,0.8618464046807504,21383.386819353982,6834.335667371672,25.406928204598263,GBM,Without retrofit
DeepLearning_grid_1_AutoML_3_20230507_132440_model_3,deeplearning,0.8618078501163275,21386.370345235235,8333.838315950688,30.98139191098855,DeepLearning,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_12,gbm,0.8605558758820587,21483.028564550536,7481.720487941968,27.813608306001857,GBM,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_1,xgboost,0.8604857073952141,21488.43303042172,7303.197488407597,27.149941601175865,XGBoost,Without social indicators
GBM_4_AutoML_2_20230507_122424,gbm,0.8602625117674965,21505.61480988901,7194.966444986826,26.74758817817553,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_21,gbm,0.8594405688769708,21568.770625273843,6903.140788501405,25.66271411529002,GBM,Without stand alone
XGBoost_3_AutoML_4_20230507_142453,xgboost,0.8586319162393564,21630.725305705455,7748.4822803736615,28.80530640774998,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_3_20230507_132440_model_2,xgboost,0.8586275701976898,21631.057796987974,6266.33402541059,23.295358384243066,XGBoost,Without social indicators
