Model,Algorithm...2,R_squared,RMSE,MAE,MAPE,Algorithm...7,Approach
XGBoost_grid_1_AutoML_1_20230507_112409_model_1,xgboost,0.8272129070447509,23913.93505718322,7442.624131691759,27.668265969210776,XGBoost,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_15,gbm,0.8266497627959942,23952.873266533636,7370.313942144499,27.399449820326083,GBM,Without retrofit
XGBoost_grid_1_AutoML_2_20230507_122424_model_11,xgboost,0.826583377392033,23957.459268220908,7845.0026144742005,29.164124779882894,XGBoost,Without retrofit
StackedEnsemble_AllModels_5_AutoML_1_20230507_112409,stackedensemble,0.8263178577357568,23975.79298734218,6106.304583521422,22.70044225214391,StackedEnsemble,All predictors
GBM_2_AutoML_2_20230507_122424,gbm,0.8261278032843661,23988.907347410994,7673.687139041411,28.527252346847803,GBM,Without retrofit
XGBoost_grid_1_AutoML_3_20230507_132440_model_19,xgboost,0.8260826164762587,23992.02432572872,6650.44755943499,24.723316485271717,XGBoost,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_44,gbm,0.8250077611333703,24066.048651440895,7913.192002969566,29.41762167879706,GBM,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_44,gbm,0.8248201743466971,24078.944262025027,7531.764690533242,27.999649718682697,GBM,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_11,xgboost,0.824212802017559,24120.650633510773,7873.688491767202,29.270765726470984,XGBoost,All predictors
XGBoost_2_AutoML_4_20230507_142453,xgboost,0.8242040420792822,24121.25162374465,7649.693935342401,28.43805661028348,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_4_20230507_142453_model_10,xgboost,0.8240477356422405,24131.972772389854,8064.316699727921,29.979434049063308,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_7,xgboost,0.8240162893673452,24134.129115047283,7495.4454036779,27.864631253320905,XGBoost,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_15,gbm,0.8239737996106478,24137.04242839107,7116.989641592271,26.45770615570948,GBM,Without social indicators
XGBoost_grid_1_AutoML_2_20230507_122424_model_7,xgboost,0.8237811017587894,24150.25035992043,7507.640774028219,27.909968051804228,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_2_20230507_122424_model_4,xgboost,0.8233046647189612,24182.875428111067,7153.858271627668,26.59476682728043,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_9,gbm,0.8230569909010707,24199.81805901586,7874.565513828134,29.27402609260171,GBM,Without social indicators
XGBoost_2_AutoML_2_20230507_122424,xgboost,0.8227458050291999,24221.08856140545,7434.539980067551,27.638212798001767,XGBoost,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_42,gbm,0.8223223245244419,24250.004773340683,7901.328124008773,29.373517213395406,GBM,All predictors
XGBoost_3_AutoML_1_20230507_112409,xgboost,0.8221971247806619,24258.547095053545,7714.258050079761,28.67807640263243,XGBoost,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_9,xgboost,0.8220599206212416,24267.90501941094,7160.374886877921,26.618992616568278,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_4,xgboost,0.8215956550158491,24299.543237654823,7345.074423603425,27.3056208562977,XGBoost,Without stand alone
XGBoost_3_AutoML_3_20230507_132440,xgboost,0.8215672171596581,24301.479847945157,7687.123497177198,28.57720256923987,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_14,xgboost,0.8214494830103146,24309.495870029754,7688.32771277748,28.581679291014783,XGBoost,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_14,xgboost,0.8213233513235065,24318.080713289884,7881.811871099154,29.30096472832144,XGBoost,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_26,gbm,0.8211887426158531,24327.239182381607,7399.37512685501,27.50748598790936,GBM,All predictors
XGBoost_grid_1_AutoML_4_20230507_142453_model_25,xgboost,0.8211317829372413,24331.11355084421,8533.166760595032,31.72240372672231,XGBoost,Without stand alone
GBM_4_AutoML_4_20230507_142453,gbm,0.8205387662894739,24371.413656145734,7648.476123166938,28.433529342672614,GBM,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_32,gbm,0.8203968711946399,24381.046657874536,7018.934802798805,26.09318319830884,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_5,gbm,0.820088683266945,24401.955880588168,6576.078589495648,24.446846734317056,GBM,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_26,gbm,0.8200582545874173,24404.01936362974,7731.323410826954,28.74151759375792,GBM,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_45,gbm,0.8193270337349134,24453.553827818076,7616.8157638434295,28.315830634939477,GBM,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_6,xgboost,0.8191385207067847,24466.30784337511,7957.904190042093,29.58384110115376,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_12,xgboost,0.8187187612090925,24494.683186683033,8076.998652868167,30.026579739384985,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_4,xgboost,0.8186830344681106,24497.096762668618,7463.116811437389,27.744448361817376,XGBoost,All predictors
StackedEnsemble_AllModels_5_AutoML_2_20230507_122424,stackedensemble,0.8185915457599922,24503.276341848337,6171.8561468193575,22.944132925746768,StackedEnsemble,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_22,xgboost,0.8184007655414071,24516.157527626845,7854.809934339837,29.200583900978653,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_18,xgboost,0.8183852850964536,24517.20244651231,7880.333284837948,29.29546802215845,XGBoost,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_26,gbm,0.818133992535037,24534.158288726845,7303.177277579386,27.14986646657811,GBM,Without social indicators
XGBoost_grid_1_AutoML_2_20230507_122424_model_19,xgboost,0.8172744484646469,24592.067219237764,6978.217304760857,25.941814199232603,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_41,gbm,0.8171260208746787,24602.053234574334,6571.376592437739,24.429366863926898,GBM,Without social indicators
XGBoost_grid_1_AutoML_2_20230507_122424_model_5,xgboost,0.8170347509971164,24608.191741271145,7869.415359664362,29.25488017945813,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_43,gbm,0.8168947210136623,24617.60671389023,6798.733232085401,25.274574664875942,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_46,gbm,0.8168197308033651,24622.64723085222,7951.581027840762,29.560334481652724,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_43,gbm,0.8164545702535464,24647.177009676743,6879.016038811899,25.573029351013453,GBM,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_33,gbm,0.8160649527938866,24673.322797615845,7003.076252908393,26.03422837693266,GBM,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_19,xgboost,0.8159873131227466,24678.529599123172,7197.967854437004,26.75874604312754,XGBoost,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_46,gbm,0.815884694737554,24685.40987984434,7892.8350372396135,29.341943808710347,GBM,Without social indicators
XGBoost_grid_1_AutoML_2_20230507_122424_model_1,xgboost,0.8158637153082565,24686.81625683848,7846.608105408625,29.170093259467357,XGBoost,Without retrofit
StackedEnsemble_BestOfFamily_5_AutoML_1_20230507_112409,stackedensemble,0.8156301773339996,24702.466301609158,6546.413831314679,24.336566757155722,StackedEnsemble,All predictors
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,StackedEnsemble,All predictors
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,XGBoost,All predictors
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GBM,All predictors
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DeepLearning,All predictors
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DRF,All predictors
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GLM,All predictors
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,StackedEnsemble,Without retrofit
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GBM,Without retrofit
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,XGBoost,Without retrofit
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DeepLearning,Without retrofit
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DRF,Without retrofit
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GLM,Without retrofit
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,StackedEnsemble,Without social indicators
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,XGBoost,Without social indicators
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GBM,Without social indicators
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DRF,Without social indicators
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DeepLearning,Without social indicators
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GLM,Without social indicators
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,StackedEnsemble,Without stand alone
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GBM,Without stand alone
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,XGBoost,Without stand alone
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DeepLearning,Without stand alone
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,DRF,Without stand alone
Current Method,Based on HEPI,0.8158060962723412,24720.968177578303,9277.911441129725,38.31883471563197,GLM,Without stand alone
XGBoost_grid_1_AutoML_3_20230507_132440_model_21,xgboost,0.8153538876874237,24720.968463634166,7268.176933235116,27.019751225072408,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_18,xgboost,0.81350464961999025,24844.450798843336,7856.319532059039,29.206195893531593,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_21,xgboost,0.8134354521328021,24849.059530698592,7442.628164014501,27.668280959538933,XGBoost,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_15,xgboost,0.8132409221579696,24862.0111540619,7313.75160004208,27.189176951853888,XGBoost,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_15,gbm,0.8130939763549085,24871.790196354297,7490.426076085002,27.845971693417088,GBM,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_50,gbm,0.8126542102967373,24901.033081855498,7406.315130601125,27.533285741608754,GBM,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_42,gbm,0.8123242569876534,24922.95127889071,8023.433439327708,29.827448821484108,GBM,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_16,xgboost,0.8122889357483358,24925.29646238925,8100.221288591567,30.11291085732565,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_15,xgboost,0.8115210950873817,24976.223466154235,7461.321067391828,27.737772608348433,XGBoost,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_23,gbm,0.8114318343185722,24982.1369476122,7071.411564687327,26.288267751746382,GBM,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_43,gbm,0.810794113706479,25024.34496429045,7099.090284016435,26.391164546550772,GBM,Without stand alone
GBM_3_AutoML_4_20230507_142453,gbm,0.8105152698615978,25042.778099921434,7865.374237134951,29.23985713772184,GBM,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_22,gbm,0.810506081447177,25043.385274530727,8544.493599949832,31.76451172496511,GBM,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_49,gbm,0.8103270491782569,25055.212871982207,7209.874243402408,26.80300854124631,GBM,Without social indicators
GBM_3_AutoML_3_20230507_132440,gbm,0.810210374397971,25062.917876895717,7610.7904681347545,28.29343134656202,GBM,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_6,xgboost,0.8099746029588617,25078.4805983674,7964.851865690918,29.60966937547181,XGBoost,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_41,gbm,0.8096010889746892,25103.11563359057,7055.645778799419,26.229657784422784,GBM,Without retrofit
DeepLearning_grid_2_AutoML_3_20230507_132440_model_2,deeplearning,0.8085253647825914,25173.930098519206,11936.915726728257,44.37598262860264,DeepLearning,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_15,xgboost,0.8083928861214212,25182.637340316323,7744.357566873118,28.789972613088246,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_4_20230507_142453_model_29,xgboost,0.8082205525565253,25193.95956681917,8526.309079938213,31.696910012544695,XGBoost,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_42,gbm,0.8072141520369228,25259.97820752395,8396.722938731291,31.215168121862675,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_28,gbm,0.8069524083418218,25277.12001923993,8014.166361821565,29.792998073917076,GBM,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_24,xgboost,0.8064527532737462,25309.810609378266,7028.24792812537,26.127805130570973,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_31,gbm,0.8063472615012947,25316.707150435126,7803.253161505418,29.008919445262997,GBM,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_11,xgboost,0.8060609877194151,25335.4128838658,8217.857616547513,30.550228818294155,XGBoost,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_32,gbm,0.8060407406021621,25336.735350350402,7118.700980874249,26.464068130945567,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_42,gbm,0.8059611060039963,25341.936116958543,8050.14020163612,29.92673232548093,GBM,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_10,gbm,0.8056111571048896,25364.777897632535,7721.505418397382,28.705018796960108,GBM,Without retrofit
XGBoost_grid_1_AutoML_2_20230507_122424_model_15,xgboost,0.8053643167057716,25380.877241228478,7456.345311239933,27.719275027095826,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_14,xgboost,0.8044961627898191,25437.4187539008,8174.7385026540105,30.389931711997733,XGBoost,Without stand alone
GBM_2_AutoML_3_20230507_132440,gbm,0.8044127950128578,25442.841754941925,7660.062806987301,28.47660332356571,GBM,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_28,gbm,0.8044109402242411,25442.962394176444,7951.968261169174,29.56177403771965,GBM,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_34,gbm,0.8037977112951956,25482.81674554269,8201.093413887209,30.48790719493124,GBM,Without social indicators
XGBoost_grid_1_AutoML_2_20230507_122424_model_12,xgboost,0.8036864211661925,25490.04291996134,7875.301755093062,29.27676310024513,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_1,gbm,0.8035886578256837,25496.389097304833,7314.43273747155,27.191709108688183,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_43,gbm,0.8029391897862171,25538.50841528837,6901.671965196094,25.657253703323214,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_9,gbm,0.8027264433203761,25552.290358455884,7996.4017091422475,29.726957235835645,GBM,Without retrofit
StackedEnsemble_BestOfFamily_1_AutoML_3_20230507_132440,stackedensemble,0.8021377528351806,25590.38767127511,7183.585007907574,26.7052772106124,StackedEnsemble,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_23,xgboost,0.8021224043517355,25591.3801951912,8119.634232876789,30.185079288274874,XGBoost,Without social indicators
StackedEnsemble_BestOfFamily_1_AutoML_2_20230507_122424,stackedensemble,0.80118196380216,25652.12139150978,7685.669115388225,28.57179584421304,StackedEnsemble,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_45,gbm,0.8009724519663455,25665.633766995026,7425.75497294647,27.60555416721958,GBM,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_3,gbm,0.8006291533270804,25687.75929946225,8266.303407409388,30.7303280686308,GBM,Without retrofit
XGBoost_grid_1_AutoML_1_20230507_112409_model_16,xgboost,0.8006057799587434,25689.265015753175,8069.369344208013,29.998217465886384,XGBoost,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_41,gbm,0.8005464542810213,25693.086389593802,7125.313232620745,26.488649452901413,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_34,gbm,0.8004883990102847,25696.82538193616,8333.353071471403,30.97958799437589,GBM,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_1,gbm,0.7997350804911156,25745.292879105826,7670.23165702035,28.514406448154165,GBM,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_10,gbm,0.7996898888100685,25748.197550171844,7810.948961812708,29.037528904236126,GBM,All predictors
XGBoost_1_AutoML_3_20230507_132440,xgboost,0.7994469343929995,25763.807702315866,7229.473564533476,26.875869835901945,XGBoost,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_22,gbm,0.7992935778476372,25773.656201791626,8289.371488232962,30.816084622278073,GBM,Without retrofit
XGBoost_grid_1_AutoML_2_20230507_122424_model_10,xgboost,0.7987899958713386,25805.969611246324,7898.114916258619,29.361571979419793,XGBoost,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_22,gbm,0.798585676145815,25819.068688477306,8099.43902632048,30.110002764670273,GBM,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_14,xgboost,0.7985788475403308,25819.506360278243,7624.656763883211,28.344979879980812,XGBoost,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_1,gbm,0.7984260893044555,25829.295289262504,7812.941099144771,29.04493475794786,GBM,Without retrofit
XGBoost_1_AutoML_2_20230507_122424,xgboost,0.7980849602151978,25851.141864724046,7959.13357169488,29.588411378779643,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_21,xgboost,0.7980835065229724,25851.234922517924,7779.549464765301,28.920799962906447,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_9,xgboost,0.7971976519913323,25907.880545612712,7296.891563062705,27.126499060408353,XGBoost,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_21,xgboost,0.7961627534919369,25973.900265252967,7491.484961331957,27.84990814353538,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_7,gbm,0.7954041329485353,26022.18887617897,8119.009599814985,30.182757188786663,GBM,Without social indicators
DeepLearning_grid_3_AutoML_4_20230507_142453_model_1,deeplearning,0.7952751608028743,26030.3894543303,9511.992426173667,35.36122900843963,DeepLearning,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_1,gbm,0.7951409716669768,26038.91900865461,7941.720129403197,29.523676179978697,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_33,gbm,0.7949324471766188,26052.16804955976,7126.180490043223,26.491873518580977,GBM,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_29,xgboost,0.794600690680406,26073.23301830761,8084.351982536187,30.053916049457097,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_1_20230507_112409_model_26,xgboost,0.7939198220971064,26116.411736705195,7693.799890554823,28.6020223403876,XGBoost,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_5,xgboost,0.7934548266801279,26145.859423588576,7719.131413320237,28.69619333396151,XGBoost,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_34,gbm,0.7927923400751762,26187.756830920833,8294.163258295375,30.83389822756087,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_28,gbm,0.7921183860901871,26230.31079590124,8318.688984779375,30.925073639813373,GBM,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_28,xgboost,0.7917861645813651,26251.262130684983,7131.741874245148,26.51254819656191,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_2_20230507_122424_model_30,xgboost,0.7915702729138548,26264.868240005137,7993.142029912972,29.71483924219602,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_22,gbm,0.7910360784267081,26298.504443504837,8241.37567364674,30.637658177534497,GBM,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_22,xgboost,0.7907364332519721,26317.353144635683,7591.9322351077235,28.223325077876567,XGBoost,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_45,gbm,0.790548668559388,26329.1573058801,7806.431995256287,29.02073689246102,GBM,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_10,gbm,0.7902142947534818,26350.1652164703,7988.296128261694,29.696824400471417,GBM,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_27,xgboost,0.7900845949029677,26358.30944253837,7621.029818458674,28.331496558925462,XGBoost,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_28,gbm,0.7899970475224465,26363.805371704628,8081.895226263343,30.04478295543329,GBM,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_33,gbm,0.7898225154684343,26374.758487868974,7550.249024965749,28.06836600373123,GBM,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_3,gbm,0.7891593017117519,26416.338406313465,8056.622392056807,29.95083013902749,GBM,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_33,gbm,0.7878676894001547,26497.12824735106,7822.35788410239,29.07994204921665,GBM,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_34,gbm,0.7874248062496417,26524.773760028078,8613.399034829783,32.02067055621181,GBM,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_7,gbm,0.7871463121045894,26542.14308761599,8237.84086931772,30.624517394848993,GBM,Without retrofit
StackedEnsemble_AllModels_5_AutoML_4_20230507_142453,stackedensemble,0.7871346688735569,26542.86901367609,6480.763077569262,24.092507338922754,StackedEnsemble,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_18,gbm,0.7867079742811264,26569.458662225687,8314.8662865313745,30.910862599463325,GBM,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_7,gbm,0.7863473249935463,26591.911937581022,8606.703176567378,31.995778423542166,GBM,Without stand alone
StackedEnsemble_BestOfFamily_1_AutoML_4_20230507_142453,stackedensemble,0.7857964846509675,26626.169567897006,8019.8491962136195,29.81412424805085,StackedEnsemble,Without stand alone
XGBoost_grid_1_AutoML_4_20230507_142453_model_26,xgboost,0.7840374553066739,26735.272474326983,7877.13750471537,29.283587576116027,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_18,xgboost,0.7838348495823355,26747.81041099007,8063.419628150543,29.976099148018037,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_1,xgboost,0.7835562385986387,26765.04222204523,8106.526496297282,30.136350730239563,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_5,xgboost,0.7823024069550516,26842.453546720364,8202.257001309075,30.492232879756507,XGBoost,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_3,gbm,0.78158419693454,26886.695296229613,8133.035899261693,30.234900542634506,GBM,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_18,gbm,0.7809857804356046,26923.50224067466,8621.870790057437,32.05216466000064,GBM,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_23,xgboost,0.7802995336773222,26965.64953996398,8155.456574384422,30.31825033855708,XGBoost,All predictors
XGBoost_1_AutoML_4_20230507_142453,xgboost,0.7787407567625492,27061.141231720998,8253.7310235883,30.68358970682805,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_26,xgboost,0.7757833977435267,27241.391019181792,7659.646402575513,28.47505532277832,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_18,xgboost,0.7750543002304228,27285.64623970127,8422.17936132593,31.309803435766803,XGBoost,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_24,gbm,0.774658902080692,27309.61637395073,8340.540097958085,31.006306065427538,GBM,All predictors
XGBoost_grid_1_AutoML_4_20230507_142453_model_6,xgboost,0.7746368153840432,27310.954710451846,8340.04845787893,31.004478372905314,XGBoost,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_18,gbm,0.7745923045527603,27313.6516311606,8705.107947966766,32.361602270016434,GBM,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_41,gbm,0.773754950716827,27364.337544015623,8035.49307882578,29.872281034856897,GBM,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_3,gbm,0.7733431270758928,27389.23125456543,8596.50528670751,31.957867342184976,GBM,Without stand alone
XGBoost_grid_1_AutoML_3_20230507_132440_model_11,xgboost,0.7729885675190284,27410.645383249746,7981.778705853836,29.672595610541467,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_30,xgboost,0.7728935773995832,27416.379605821297,7971.89557120987,29.635854644841697,XGBoost,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_16,xgboost,0.771262023062012,27514.684315424067,8077.928575856148,30.030036766920855,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_1_20230507_112409_model_12,xgboost,0.7705825764704921,27555.519021821296,7904.136462282598,29.383957328187826,XGBoost,All predictors
XGBoost_2_AutoML_1_20230507_112409,xgboost,0.769459485621828,27622.88436890211,7992.8440023391895,29.713731312246633,XGBoost,All predictors
DeepLearning_grid_3_AutoML_1_20230507_112409_model_1,deeplearning,0.769405794885546,27626.100737756886,9116.164168358835,33.889720932582975,DeepLearning,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_17,xgboost,0.7689619034576985,27652.677930878792,7319.871678773809,27.21192860007712,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_29,xgboost,0.7680430156989848,27707.613659635703,8262.917196238428,30.717739687214753,XGBoost,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_38,gbm,0.7660192138725941,27828.224251260763,8002.754556643072,29.750574211677023,GBM,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_28,xgboost,0.7654262374557457,27863.464407722415,7462.307790024009,27.741440790933225,XGBoost,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_25,gbm,0.7647034705648256,27906.357739661737,7234.556229619549,26.894764855581244,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_7,gbm,0.7638426978225471,27957.355311774158,8165.433234823698,30.35533899030599,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_4,gbm,0.7636090639450299,27971.181203599877,7488.9975551761745,27.840661107291997,GBM,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_9,xgboost,0.7630010014336817,28007.132885074712,7774.006792194422,28.900194846195216,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_9,xgboost,0.7629819685715353,28008.257457754004,7571.481640756695,28.147299139481625,XGBoost,Without retrofit
StackedEnsemble_AllModels_5_AutoML_3_20230507_132440,stackedensemble,0.7628163023952906,28018.044076886017,5707.0636530994025,21.216247423377155,StackedEnsemble,Without social indicators
